Source,Search Term,Job Title,Company Name,Location,Salary,Page
Indeed,data scientist,Senior Data Scientist – Fraud Prevention,Asurion,"Nashville, TN 37214",NA,290
Indeed,data scientist,Senior Data Scientist / Analytic Consultant 5,Wells Fargo,"Minneapolis, MN",NA,290
Indeed,data scientist,Quantitative Risk Analyst,Russell Investments,"Seattle, WA",NA,290
Indeed,data scientist,"Research Intern, Applied Machine Learning for 3D Sensing",Facebook,"Redmond, WA",NA,290
Indeed,data scientist,Environmental Data Analyst,Terraphase Engineering Inc.,"Conshohocken, PA 19428",NA,290
Indeed,data scientist,Mid-Level Ground System Systems Engineer,BOEING,"El Segundo, CA 90245","$107,000 - $136,000 a year (Indeed est.)",290
Indeed,data scientist,"Senior Business Systems Analyst, Drug Safety and Pharmacovig...","Pharmacyclics, an Abbvie Company","Sunnyvale, CA","$80,000 - $102,000 a year (Indeed est.)",290
Indeed,data scientist,Data Scientist,Negocios IT Solutions LLC,"San Jose, CA","$131,000 - $166,000 a year (Indeed est.)",290
Indeed,data scientist,Data Scientist,Adwait Algorithm,"Jersey, GA","$101,000 - $128,000 a year (Indeed est.)",290
Indeed,data scientist,Data Science resources,Region Technologies Inc,"Charlotte, NC","$107,000 - $136,000 a year (Indeed est.)",290
Indeed,data scientist,Data Scientist,Walmart eCommerce,"Sunnyvale, CA","$141,000 - $179,000 a year (Indeed est.)",290
Indeed,data scientist,Data Scientist,Rightpoint,"Chicago, IL","$119,000 - $151,000 a year (Indeed est.)",290
Indeed,data scientist,Data Review Scientist (Biopharma),Piper Companies,"Durham, NC 27704","$88,000 - $112,000 a year (Indeed est.)",290
Indeed,data scientist,Data Scientist II,WSP Group,"San Jose, CA","$117,000 - $149,000 a year (Indeed est.)",290
Indeed,data scientist,Business Intelligence Developer/Analyst (Compliance Consulta...,Wells Fargo,"Charlotte, NC","$98,000 - $125,000 a year (Indeed est.)",290
Indeed,data scientist,Senior Data Scientist – Fraud Prevention,Asurion,"Nashville, TN 37214","$119,000 - $152,000 a year (Indeed est.)",290
Indeed,data scientist,Senior Data Scientist / Analytic Consultant 5,Wells Fargo,"Minneapolis, MN","$101,000 - $128,000 a year (Indeed est.)",290
Indeed,data scientist,Data Scientist,ManTech International Corporation,"Stafford, VA","$116,000 - $148,000 a year (Indeed est.)",290
Indeed,data scientist,Data Scientist,LexisNexis,"Raleigh, NC","$105,000 - $133,000 a year (Indeed est.)",290
Indeed,data scientist,"Principal Scientist, Economic and Data Sciences",Merck,"Upper Gwynedd, PA",NA,290
Indeed,data scientist,Sr Consultant Data Scientist,Hitachi Consulting Corporation US,"Dallas, TX",NA,290
Indeed,data scientist,Principal Data Scientist,CA Technologies,"San Diego, CA",NA,290
Indeed,data scientist,Sr. Big Data/Machine Learning Engineer,Aita Consulting Services INC,"Orlando, FL",NA,290
Indeed,data scientist,Data Scientist/ Statistician,Sunrise Systems Inc,"San Mateo, CA 94404",$70 - $80 an hour,290
Indeed,data scientist,Junior Scientist,The Henry M. Jackson Foundation,"Rockville, MD 20852",NA,290
Indeed,data scientist,Innovation Research Analyst - Price and Portfolio,Nielsen,"Chicago, IL 60647 (Logan Square area)",NA,290
Indeed,data scientist,"Machine Learning, Software Engineer",Demandbase,"San Francisco, CA",NA,290
Indeed,data scientist,Statistician / Reliability Engineer,Warrant Technologies LLC,"Bloomington, IN","$60,000 - $120,000 a year",290
Indeed,data scientist,Junior Analyst - Geo Analytics,The Boston Consulting Group,"Chicago, IL 60654 (Loop area)",NA,290
Indeed,data scientist,Data Science Manager,Elicit,United States,NA,290
Indeed,data scientist,Senior Research Analyst,"BCS, LLC","Washington, DC",NA,290
Indeed,data scientist,Director of Clinical Data Analytics,MedAvante-ProPhase,"Township of Hamilton, NJ",NA,290
Indeed,data scientist,Applied Scientist - Operations Research,Amazon.com,"Seattle, WA",NA,290
Indeed,data scientist,Database Architect,NOKIA,"San Jose, CA",NA,290
Indeed,data scientist,Scientist II,Sol Engineering Services Llc,"Vicksburg, MS",NA,290
Indeed,data scientist,Sr. Data Analytics and BI Manager,Amazon.com,"Seattle, WA",NA,290
Indeed,data scientist,Operations Research Analyst,"CSSI, Inc.","Washington, DC",NA,290
Indeed,data scientist,Research Associate/Analyst,"BCS, LLC","Laurel, MD 20723",NA,290
Indeed,data scientist,Economic Development Research Analyst,Southern Company,"Pensacola, FL 32505",NA,290
Indeed,data scientist,"Head Start, Grantee Specialist Region IV (Remote)",ICF,"Atlanta, GA",NA,290
Indeed,data scientist,Operation Research System Analyst (TCM-S),"OT Training Solutions, Inc","Fort Benning, GA",NA,290
Indeed,data scientist,Research Analyst I - TempForce - One day per week,Vanderbilt University Medical Center,"Nashville, TN 37232",NA,290
Indeed,data scientist,Research Assistant,The University of Kansas Medical Center,"Kansas City, MO",NA,290
Indeed,data scientist,Research Analyst 3 (Project Analyst) New,State of Oregon,"Salem, OR",NA,290
Indeed,data scientist,BMT DATA SPECIALIST II,Moffitt Cancer Center,"Tampa, FL 33612",NA,290
Indeed,data scientist,Data Engineer - Global Markets Data Strategy and Analytics,RBC,"New York, NY",NA,290
Indeed,data scientist,Assistant Scientist I,Alcami Corporation,"Wilmington, NC",NA,290
Indeed,data scientist,"Research Scientist, Optics",Corning,"Painted Post, NY 14870",NA,290
Indeed,data scientist,Research / Market Analyst,e.Republic,"Sacramento, CA",NA,290
Indeed,data scientist,"Lead Data Scientist, Technology - New York, NY or Rockville,...",Finra,"New York, NY",NA,290
