Position,Track Name,Artist,Streams,URL,Date,Region,danceability,energy,speechiness,tempo,valence,acousticness,Artist Popularity,Label
77.0,Baila Conmigo,Juan Magán,30623.0,https://open.spotify.com/track/772io14jrMTxGJbijtDccQ,2017-01-01,ar,0.875,0.7090000000000001,0.0923,99.948,0.7929999999999999,0.0866,82.0,1
78.0,Una Cerveza,Rafaga,30368.0,https://open.spotify.com/track/3LNZSTiwQYL7BnTfHvIOII,2017-01-01,ar,0.747,0.907,0.0515,98.005,0.757,0.316,62.0,1
79.0,Me Ama Me Odia,Ozuna,29979.0,https://open.spotify.com/track/6041gM9Th1ViQcnzkIxnuv,2017-01-01,ar,0.737,0.6990000000000001,0.15,135.998,0.42,0.222,95.0,1
80.0,Just Hold On,Steve Aoki,29609.0,https://open.spotify.com/track/3EmmCZoqpWOTY1g2GBwJoR,2017-01-01,ar,0.647,0.932,0.0824,114.991,0.374,0.00383,80.0,1
81.0,Side To Side,Ariana Grande,29228.0,https://open.spotify.com/track/4pLwZjInHj3SimIyN9SnOz,2017-01-01,ar,0.648,0.738,0.247,159.145,0.603,0.0408,86.0,1
82.0,Bailame Despacio,Xantos,28781.0,https://open.spotify.com/track/4OaTpLJIa2harufGxfOPUu,2017-01-01,ar,0.688,0.7190000000000001,0.0555,88.015,0.605,0.163,63.0,1
83.0,Todo Comenzó Bailando,Marama,28728.0,https://open.spotify.com/track/2rrWhFrcSZcZQ2SDKPGKQ6,2017-01-01,ar,0.39,0.6409999999999999,0.0663,48.754,0.931,0.0738,65.0,1
84.0,Cheap Thrills Remix,Sia,28288.0,https://open.spotify.com/track/59iNA6gwthoTJ6IgpBGGHW,2017-01-01,ar,0.534,0.7490000000000001,0.0749,179.975,0.6709999999999999,0.0776,88.0,1
85.0,Se Pone Loca,CantoParaBailar,27694.0,https://open.spotify.com/track/0FVuUna31PTRmWGLs8W1o4,2017-01-01,ar,0.499,0.879,0.16399999999999998,205.829,0.959,0.158,47.0,1
86.0,Cheap Thrills,Sia,26885.0,https://open.spotify.com/track/27SdWb2rFzO6GWiYDBTD9j,2017-01-01,ar,0.628,0.698,0.105,89.976,0.732,0.0472,88.0,1
87.0,Work from Home,Fifth Harmony,26840.0,https://open.spotify.com/track/4tCtwWceOPWzenK2HAIJSb,2017-01-01,ar,0.8029999999999999,0.585,0.0432,105.017,0.593,0.103,80.0,1
