Date,Open,High,Low,Close,Adj Close,Volume
2013-07-05,85.346901,85.504166,84.440331,84.995377,75.178513,1067900
2013-07-08,84.875114,85.624420,84.532837,85.430161,75.563072,1707400
2013-07-09,85.846436,88.963921,85.818687,88.769661,78.516861,4595500
2013-07-10,88.529137,89.454208,87.752083,89.296944,78.983253,2540100
2013-07-11,90.296021,90.342278,89.361702,89.740982,79.376007,1761800
2013-07-12,89.768730,89.814987,88.889915,89.407959,79.081436,1338900
2013-07-15,89.380203,89.500465,88.945419,89.370956,79.048721,1233600
2013-07-16,88.797409,88.797409,87.696579,88.344124,78.140472,1846300
2013-07-17,88.806664,89.241440,88.630898,89.148933,78.852341,1344800
2013-07-18,89.537468,90.166512,88.973175,89.620720,79.269638,1313100
2013-07-19,89.629974,89.916740,88.834412,89.722481,79.359627,1731600
2013-07-22,89.481964,90.564293,89.472710,90.545792,80.087852,3806200
2013-07-23,93.459763,93.459763,90.555038,93.108231,82.354340,4532700
2013-07-24,92.913971,93.108231,92.220169,93.024979,82.280708,1849400
2013-07-25,94.375580,100.518036,94.255318,99.084183,87.640068,8743000
2013-07-26,98.621643,98.973175,96.105461,96.318222,85.193573,8340400
2013-07-29,96.466232,96.854767,95.050880,96.799263,85.619064,2503800
2013-07-30,96.975021,97.826088,96.345978,97.696579,86.412735,1665100
2013-07-31,100.629044,101.739128,99.463463,100.499535,88.891953,7253000
2013-08-01,101.285843,102.682701,98.418129,99.213692,87.754623,4922700
2013-08-02,98.797409,99.000923,97.770584,98.936172,87.509171,2363300
2013-08-05,99.981499,99.981499,98.825165,99.750229,88.229195,1210900
2013-08-06,99.056427,99.888992,98.723404,98.862167,87.443710,1447200
2013-08-07,98.695656,99.361702,98.094360,98.760406,87.353691,1381800
2013-08-08,99.185936,99.833488,98.270119,98.630898,87.239166,1351400
2013-08-09,98.408882,99.435707,98.362625,98.704903,87.304588,799300
2013-08-12,97.974098,97.974098,94.949120,95.467163,84.440819,2800600
2013-08-13,95.809433,96.429230,95.652176,96.160965,85.054482,1290700
2013-08-14,96.040703,96.392227,94.810364,95.078629,84.097160,1121600
2013-08-15,94.320076,94.394081,93.293243,93.839035,83.000732,1579100
2013-08-16,93.432007,93.755783,92.284920,93.330246,82.550720,2444100
2013-08-19,93.061981,94.190567,93.043480,93.913040,83.066185,2208900
2013-08-20,93.728027,94.736359,93.376503,94.569839,83.647125,1773900
2013-08-21,94.357079,94.699356,93.728027,94.079559,83.213501,1520700
2013-08-22,94.486588,95.938942,93.968544,95.263641,84.260803,827500
2013-08-23,95.300644,96.355225,94.930618,96.207214,85.095390,890800
2013-08-26,96.336723,96.669754,95.457909,95.578171,84.538994,720300
2013-08-27,94.967621,95.374657,94.125809,94.227570,83.344376,893300
2013-08-28,93.996300,94.357079,93.589272,93.866791,83.025284,745400
2013-08-29,93.709526,95.929695,93.561516,94.764107,83.818954,749000
2013-08-30,94.847366,94.995377,93.885292,94.486588,83.573509,1021800
